strain,fluorophore,intensity
m22,cfp,2438.3457909640715
m22,cfp,2315.8229571320203
m22,cfp,2521.4330062284102
m22,cfp,2646.2059836412823
m22,cfp,2830.095578381801
m22,cfp,2566.5765996963805
m22,cfp,2636.142212858768
m22,cfp,2644.090293856045
m22,cfp,2896.818343486961
m22,cfp,2452.784102475948
m22,cfp,2596.5430831986855
m22,cfp,2832.1636214843033
m22,cfp,2581.2489278676107
m22,cfp,2489.7924259869615
m22,cfp,2618.7484545588422
m22,cfp,2487.6033530764785
m22,cfp,2478.2498241446465
m22,cfp,2347.1393510667167
m22,cfp,2434.2831670290043
m22,cfp,2683.1961847525167
m22,cfp,2263.3701884293046
m22,cfp,2662.848891141026
m22,cfp,2500.501303686131
m22,cfp,2615.861605917563
m22,cfp,2355.348896068759
m22,cfp,2542.8292028770998
m22,cfp,2637.1090193328478
m22,cfp,2508.264294829699
m22,cfp,2474.294858106222
m22,cfp,2468.4024647251185
m22,cfp,2798.084006430536
m22,cfp,2845.653354138431
m22,cfp,2516.5866431068953
m22,cfp,2452.9703957240495
m22,cfp,2796.0660577194153
m22,cfp,2501.476252299616
m22,cfp,2733.2282677716576
m22,cfp,2521.769221230907
m22,cfp,2398.737702577685
m22,cfp,2731.7388835904394
m22,cfp,2442.6863015265285
m22,cfp,2714.4310506283446
m22,cfp,2932.9908103952775
m22,cfp,2708.248945594966
m22,cfp,2661.5791666610994
m22,cfp,2597.0355400172166
m22,cfp,2283.659228611057
m22,cfp,2550.6575209213834
m22,cfp,2683.1956926128346
m22,cfp,2437.9673725890907
m22,cfp,2682.5889129538114
m22,cfp,2674.306445639467
m22,cfp,2693.1152963360378
m22,cfp,2555.1157305911775
m22,cfp,2757.4370077292197
m22,cfp,2879.530525016991
m22,cfp,2565.1774465562803
m22,cfp,2625.9215848484637
m22,cfp,2598.6833949252605
m22,cfp,2912.9227663781453
m22,cfp,2734.255640333044
m22,cfp,2594.3631023429807
m22,cfp,2837.9883108443555
m22,cfp,2868.8978478495296
m22,cfp,2796.354462528943
m22,cfp,2579.538092759287
m22,cfp,2272.2734973545607
m22,cfp,2533.6806416036784
m22,cfp,2766.0212600206482
m22,cfp,2572.7649455420296
m22,cfp,2531.343479349833
m22,cfp,2868.965589146596
m22,cfp,2281.9566146090106
m22,cfp,2372.1225667160425
m22,cfp,2771.624251911296
m22,cfp,2799.576284013123
m22,cfp,2683.9127228657544
m22,cfp,2733.209401023405
m22,cfp,2808.322232005918
m22,cfp,2576.1853080349474
m22,cfp,2555.779335687542
m22,cfp,2774.725716090082
m22,cfp,2765.7104436320333
m22,cfp,2453.4728077979858
m22,cfp,2685.7591168153976
m22,cfp,2742.30160189728
m22,cfp,2674.130128809289
m22,cfp,2688.2233492477467
m22,cfp,2539.3490130916325
m22,cfp,2436.918130269356
m22,cfp,2693.922363301426
m22,cfp,2947.420436989
m22,cfp,2340.0370300882196
m22,cfp,2415.5671227208527
m22,cfp,2502.2667525592865
m22,cfp,2466.648485357237
m22,cfp,2401.6096592729114
m22,cfp,2614.931548966396
m22,cfp,2271.8189170223504
m22,cfp,2413.8821680750466
m22,cfp,2802.3767993615093
m22,cfp,2528.2209226364794
m22,cfp,2166.5778684506276
m22,cfp,2833.8182481556
m22,cfp,2426.932532772024
m22,cfp,2646.8154256685357
m22,cfp,2592.7628377920096
m22,cfp,2275.957539897031
m22,cfp,2676.334230940419
m22,cfp,2399.790786029735
m22,cfp,2297.8025924336903
m22,cfp,2443.0221543730536
m22,cfp,2306.281448980984
m22,cfp,2369.123488765597
m22,cfp,2432.283919411704
m22,cfp,2332.5121986427657
m22,cfp,2522.55001976715
m22,cfp,2538.25830014923
m22,cfp,2667.156969737315
m22,cfp,2859.4922624031524
m22,cfp,2877.6839343072743
m22,cfp,2697.1134887605263
m22,cfp,2651.4954885122906
m22,cfp,2523.4153473866377
m22,cfp,2470.4227557900267
m22,cfp,2572.6561460630255
m22,cfp,2544.407269449612
m22,cfp,2653.4896593398494
m22,cfp,2620.298563078498
m22,cfp,2672.744240758719
m22,cfp,2597.6753036604136
m22,cfp,2631.8970097010238
m22,cfp,2731.8362491739877
m22,cfp,2662.9917744496834
m22,cfp,2213.224266662512
m22,cfp,2475.064375734435
m22,cfp,2717.6931096408557
m22,cfp,2348.2330111941346
m22,cfp,2766.9375854981604
m22,cfp,2883.1917424980847
m22,cfp,2443.0414426203993
m22,cfp,2296.3939141741234
m22,cfp,2640.549483047155
m22,cfp,2859.6081680010716
m22,cfp,2780.058003002796
m22,cfp,2881.5343187283747
m22,cfp,2298.6977859016247
m22,cfp,2714.0962421493887
m22,cfp,2743.1863043471767
m22,cfp,2873.203812738433
m22,cfp,2499.305059843288
m22,cfp,2521.5786345049664
m22,cfp,2553.206073816654
m22,cfp,2350.8584784118325
m22,cfp,2712.710069774178
m22,cfp,2565.778579337784
m22,cfp,2786.2816514340866
m22,cfp,2435.313656152614
m22,cfp,2378.0049217834403
m22,cfp,2515.0323126347084
m22,cfp,2654.945886014153
m22,cfp,2527.7917208005942
m22,cfp,2545.397590602942
m22,cfp,2587.5924679795658
m22,cfp,2537.5961299482633
m22,cfp,2770.9607923062035
m22,cfp,2903.239851788039
m22,cfp,2720.0315552251736
m22,cfp,2819.301444591224
m22,cfp,2618.504653252602
m22,cfp,2606.9598312704375
m22,cfp,2362.0947629793354
m22,cfp,2532.811761444472
m22,cfp,2464.4592878334065
m22,cfp,2574.970992054048
m22,cfp,2417.430350562274
m22,cfp,2482.088683511583
m22,cfp,2456.1133742239967
m22,cfp,2618.1640261987222
m22,cfp,2591.726392992651
m22,cfp,2865.4846374039084
