cell,time (min),A intensity (a.u.),B intensity (a.u.),C intensity (a.u.),X intensity (a.u.)
0,0.000,0.058,0.090,0.015,0.566
0,1.672,0.058,0.082,0.019,0.455
0,3.344,0.045,0.080,0.034,0.479
0,5.017,0.035,0.054,0.006,0.364
0,6.689,0.075,0.058,0.001,0.392
0,8.361,0.089,0.043,0.010,0.456
0,10.033,0.084,0.038,0.015,0.745
0,11.706,0.068,0.060,0.011,0.477
0,13.378,0.058,0.032,0.008,0.436
0,15.050,0.042,0.035,0.025,0.589
0,16.722,0.027,0.037,0.022,0.437
0,18.395,0.035,0.023,0.020,0.472
0,20.067,0.055,0.016,0.000,0.529
0,21.739,0.026,0.041,0.013,0.410
0,23.411,0.079,0.014,0.019,0.375
0,25.084,0.131,0.035,0.001,0.537
0,26.756,0.087,0.021,0.025,0.467
0,28.428,0.078,0.015,0.011,0.400
0,30.100,0.054,0.025,0.001,0.715
0,31.773,0.091,0.021,0.011,0.823
0,33.445,0.029,0.010,0.038,0.599
0,35.117,0.033,0.028,0.001,0.323
0,36.789,0.032,0.012,0.028,0.369
0,38.462,0.043,0.021,0.002,0.329
0,40.134,0.037,0.016,0.008,0.433
0,41.806,0.055,0.026,0.015,0.436
0,43.478,0.061,0.013,0.010,0.388
0,45.151,0.071,0.019,0.003,0.340
0,46.823,0.037,0.013,0.005,0.531
0,48.495,0.046,0.027,0.012,0.614
0,50.167,0.035,0.029,0.024,0.419
0,51.839,0.050,0.021,0.079,0.363
0,53.512,0.055,0.012,0.144,0.228
0,55.184,0.283,0.024,0.158,0.395
0,56.856,0.320,0.078,0.143,0.516
0,58.528,0.322,0.163,0.139,0.370
0,60.201,0.328,0.196,0.105,0.747
0,61.873,0.311,0.206,0.096,0.365
0,63.545,0.319,0.236,0.092,0.655
0,65.217,0.266,0.244,0.077,0.797
0,66.890,0.175,0.247,0.051,0.491
0,68.562,0.167,0.239,0.065,0.499
0,70.234,0.116,0.199,0.043,0.382
0,71.906,0.074,0.189,0.041,0.285
0,73.579,0.052,0.174,0.060,0.306
0,75.251,0.045,0.137,0.034,0.634
0,76.923,0.047,0.138,0.035,0.492
0,78.595,0.053,0.094,0.030,0.462
0,80.268,0.064,0.072,0.036,0.411
0,81.940,0.035,0.074,0.037,0.356
0,83.612,0.049,0.111,0.048,0.499
0,85.284,0.042,0.068,0.024,0.334
0,86.957,0.056,0.063,0.010,0.373
0,88.629,0.047,0.056,0.006,0.700
0,90.301,0.031,0.070,0.004,0.449
0,91.973,0.044,0.056,0.006,0.447
0,93.645,0.054,0.052,0.019,0.314
0,95.318,0.064,0.044,0.004,0.598
0,96.990,0.088,0.038,0.009,0.513
0,98.662,0.077,0.030,0.005,0.220
0,100.334,0.060,0.031,0.022,0.107
0,102.007,0.076,0.032,0.021,0.011
0,103.679,0.065,0.036,0.000,0.066
0,105.351,0.056,0.022,0.002,0.159
0,107.023,0.050,0.038,0.001,0.019
0,108.696,0.057,0.031,0.007,0.076
0,110.368,0.021,0.048,0.025,0.048
0,112.040,0.038,0.024,0.029,0.087
0,113.712,0.015,0.026,0.019,0.088
0,115.385,0.053,0.018,0.114,0.035
0,117.057,0.142,0.018,0.189,0.317
0,118.729,0.249,0.036,0.331,0.212
0,120.401,0.386,0.127,0.418,0.299
0,122.074,0.512,0.193,0.514,0.301
0,123.746,0.599,0.301,0.505,0.422
0,125.418,0.591,0.415,0.569,0.424
0,127.090,0.671,0.493,0.514,0.308
0,128.763,0.603,0.598,0.443,0.388
0,130.435,0.643,0.600,0.361,0.376
0,132.107,0.773,0.679,0.283,0.627
0,133.779,0.712,0.724,0.279,0.329
0,135.452,0.648,0.699,0.227,0.496
0,137.124,0.642,0.708,0.172,0.474
0,138.796,0.584,0.704,0.119,0.592
0,140.468,0.432,0.717,0.103,0.491
0,142.140,0.368,0.706,0.087,0.478
0,143.813,0.291,0.656,0.075,0.522
0,145.485,0.238,0.617,0.069,0.516
0,147.157,0.166,0.542,0.058,0.340
