kb,ku,gamma,N,M,r0
335.50,335.50,0.00,1,0,400.00
335.50,335.50,0.00,2,0,7191.43
335.50,335.50,0.00,3,0,108398.87
335.50,335.50,0.00,4,0,887755.22
335.50,335.50,0.00,5,0,2367078.51
335.50,335.50,0.00,6,0,4505640.71
335.50,335.50,0.00,7,0,7679823.98
335.50,335.50,0.00,8,0,11693089.19
335.50,335.50,0.00,9,0,17567147.47
335.50,335.50,0.00,10,0,26018789.54
335.50,335.50,0.00,11,0,38037728.02
335.50,335.50,0.00,12,0,51477272.12
335.50,335.50,0.00,13,0,73530640.12
335.50,335.50,0.00,14,0,96718442.29
335.50,335.50,0.00,14,1,38810538.63
335.50,335.50,0.00,14,2,16073530.91
335.50,335.50,0.00,14,3,5999245.27
335.50,335.50,0.00,14,4,2355133.14
335.50,335.50,0.00,14,5,905415.93
335.50,335.50,0.00,14,6,307270.79
335.50,335.50,0.00,14,7,70020.78
335.50,335.50,0.00,14,8,6867.98
335.50,335.50,0.00,14,9,666.96
335.50,335.50,0.00,14,10,132.26
335.50,335.50,0.00,14,11,41.23
335.50,335.50,0.00,14,12,26.99
335.50,335.50,0.00,14,13,9.50
335.50,335.50,0.00,14,14,7.85
335.50,335.50,1.00,1,0,417.00
335.50,335.50,1.00,2,0,7816.97
335.50,335.50,1.00,3,0,121555.07
335.50,335.50,1.00,4,0,831996.16
335.50,335.50,1.00,5,0,1844490.93
335.50,335.50,1.00,6,0,2819946.93
335.50,335.50,1.00,7,0,3664450.88
335.50,335.50,1.00,8,0,4399445.54
335.50,335.50,1.00,9,0,5319638.87
335.50,335.50,1.00,10,0,6011835.31
335.50,335.50,1.00,11,0,6829839.73
335.50,335.50,1.00,12,0,7511489.51
335.50,335.50,1.00,13,0,8517902.39
335.50,335.50,1.00,14,0,9237105.89
335.50,335.50,1.00,14,1,5387448.97
335.50,335.50,1.00,14,2,3583545.50
335.50,335.50,1.00,14,3,2386466.73
335.50,335.50,1.00,14,4,1579084.59
335.50,335.50,1.00,14,5,967315.28
335.50,335.50,1.00,14,6,515846.25
335.50,335.50,1.00,14,7,193341.88
335.50,335.50,1.00,14,8,7327.10
335.50,335.50,1.00,14,9,991.63
335.50,335.50,1.00,14,10,304.61
335.50,335.50,1.00,14,11,128.84
335.50,335.50,1.00,14,12,42.00
335.50,335.50,1.00,14,13,24.50
335.50,335.50,1.00,14,14,20.15
